f,Vin,scala_Vin,Vout,scala_Vout,t,scala_t,auto
369.3,668,100,180,100,-70,50,-8
364.3,774,100,176,100,-260,100,-34
358.3,960,200,156,20,-412,100,-51.6
349.3,1200,200,128,20,-520,250,-66
336.3,1380,200,95.2,20,-600,250,-73.2
315.3,1490,200,63.2,20,-680,250,-78.6
273.3,1540,200,35.2,20,-770,250,-87
220.3,1550,200,20.8,20,-970,250,-88.8
160.3,1550,200,12.8,20,-1290,250,-90
374.3,684,100,178,50,144,100,20.2
380.3,824,100,168,50,324,100,46.5
387.3,1020,200,148,20,424,100,61.5
396.3,1220,200,124,20,480,100,70.5
409.3,1360,200,96.8,20,516,100,77.3
430.3,1460,200,70.4,20,516,100,82.8
467.3,1520,200,47.2,20,496,100,84.1
543.3,1550,200,28.8,20,428,100,86.9
620.3,1550,200,20.8,20,364,100,89
700.3,1560,200,16.8,20,324,100,90
850.3,1570,200,12.8,20,256,100,90